#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2026-08-03-04-14-23
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1785729473.524131	Cnoy9u3ZNhewE10whh	192.168.50.10	53060	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	900607499.755443	0
1785729473.637923	Cnoy9u3ZNhewE10whh	192.168.50.10	53060	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000168	10.174.8.47	1785729390.164212	900607499.755443	1785729473.579307	1785729473.579385	0
1785729505.732182	CS1kI63Av4w39SzrF	192.168.50.10	41456	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1836264132.260574	0
1785729505.791368	CS1kI63Av4w39SzrF	192.168.50.10	41456	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000458	10.174.8.47	1785729315.360037	1836264132.260574	1785729505.770505	1785729505.770584	0
1785729537.983628	CiKvfs328C3sT1LG0g	192.168.50.10	34832	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-2180599951.413401	0
1785729538.046325	CiKvfs328C3sT1LG0g	192.168.50.10	34832	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000336	10.174.8.47	1785729477.008763	-2180599951.413401	1785729538.017684	1785729538.017762	0
1785729570.240297	CX4qpV33fdd3j1WCzg	192.168.50.10	37306	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	691462983.601679	0
1785729570.271007	CX4qpV33fdd3j1WCzg	192.168.50.10	37306	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000259	10.174.8.47	1785729390.164212	691462983.601679	1785729570.269732	1785729570.269814	0
1785729602.490872	CIJsyMSoJVpX2KQCc	192.168.50.10	52072	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	58538597.699490	0
1785729602.530748	CIJsyMSoJVpX2KQCc	192.168.50.10	52072	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000168	10.174.8.47	1785729552.851479	58538597.699490	1785729602.526147	1785729602.526263	0
1785729634.741065	CuJst329gkomeJfVm4	192.168.50.10	49113	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1258690380.352986	0
1785729634.916558	CuJst329gkomeJfVm4	192.168.50.10	49113	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000336	10.174.8.47	1785729469.385522	1258690380.352986	1785729634.771383	1785729634.771507	0
1785729667.063565	Cq2IzG2Sp1AcuCLXld	192.168.50.10	56037	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	961039440.855800	0
1785729667.172954	Cq2IzG2Sp1AcuCLXld	192.168.50.10	56037	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000366	10.174.8.47	1785729550.317420	961039440.855800	1785729667.107372	1785729667.107469	0
1785729699.264404	CWAcXa33JUpTkOgyda	192.168.50.10	43084	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-1971982188.648908	0
1785729699.329947	CWAcXa33JUpTkOgyda	192.168.50.10	43084	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000153	10.174.8.47	1785729693.677317	-1971982188.648908	1785729699.293479	1785729699.293574	0
1785729731.496790	C0vG4R3ywzWUOxOth4	192.168.50.10	37916	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-1527410727.607531	0
1785729731.588398	C0vG4R3ywzWUOxOth4	192.168.50.10	37916	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000214	10.174.8.47	1785729630.762912	-1527410727.607531	1785729731.525445	1785729731.525525	0
1785729763.760326	CpR6kK2GMaFoU1OyMk	192.168.50.10	38006	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	202202440.478602	0
1785729763.841407	CpR6kK2GMaFoU1OyMk	192.168.50.10	38006	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000214	10.174.8.47	1785729715.861956	202202440.478602	1785729763.808137	1785729763.808222	0
1785729795.981707	CI1EMZ1bZIIlqYFyj1	192.168.50.10	54015	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1511302587.449156	0
1785729796.096541	CI1EMZ1bZIIlqYFyj1	192.168.50.10	54015	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110168	0.000534	10.174.8.47	1785729574.235579	1511302587.449156	1785729796.013005	1785729796.013097	0
1785729828.264228	CEapnO16cxerlCo9if	192.168.50.10	53310	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-371412370.884665	0
1785729828.351422	CEapnO16cxerlCo9if	192.168.50.10	53310	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000275	10.174.8.47	1785729704.010488	-371412370.884665	1785729828.306311	1785729828.306381	0
1785729860.488693	CeqL1527qucZIHwlf9	192.168.50.10	43433	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1777172508.287467	0
1785729860.606791	CeqL1527qucZIHwlf9	192.168.50.10	43433	162.159.200.1	123	4	4	3	1.000000	0.000000	0.110275	0.000168	10.174.8.47	1785729812.339360	1777172508.287467	1785729860.529910	1785729860.529998	0
