timestamp,source,src_ip,dst_ip,dst_port,proto,event,mitre_id,mitre_name
2026-08-03T04:00:10.294373+00:00,zeek:conn,192.168.50.10,192.168.50.6,993,tcp,connection 192.168.50.10 -> 192.168.50.6:993 (tcp),,
2026-08-03T04:00:10.294374+00:00,zeek:conn,192.168.50.10,192.168.50.6,5900,tcp,connection 192.168.50.10 -> 192.168.50.6:5900 (tcp),,
2026-08-03T04:00:10.294375+00:00,zeek:conn,192.168.50.10,192.168.50.6,113,tcp,connection 192.168.50.10 -> 192.168.50.6:113 (tcp),,
2026-08-03T04:00:10.294376+00:00,zeek:conn,192.168.50.10,192.168.50.6,199,tcp,connection 192.168.50.10 -> 192.168.50.6:199 (tcp),,
2026-08-03T04:00:10.294376+00:00,zeek:conn,192.168.50.10,192.168.50.6,80,tcp,connection 192.168.50.10 -> 192.168.50.6:80 (tcp),,
2026-08-03T04:00:10.294630+00:00,zeek:conn,192.168.50.10,192.168.50.6,995,tcp,connection 192.168.50.10 -> 192.168.50.6:995 (tcp),,
2026-08-03T04:00:10.294632+00:00,zeek:conn,192.168.50.10,192.168.50.6,445,tcp,connection 192.168.50.10 -> 192.168.50.6:445 (tcp),,
2026-08-03T04:00:10.294633+00:00,zeek:conn,192.168.50.10,192.168.50.6,22,tcp,connection 192.168.50.10 -> 192.168.50.6:22 (tcp),,
2026-08-03T04:00:10.294634+00:00,zeek:conn,192.168.50.10,192.168.50.6,2301,tcp,connection 192.168.50.10 -> 192.168.50.6:2301 (tcp),,
2026-08-03T04:00:10.294635+00:00,zeek:conn,192.168.50.10,192.168.50.6,2401,tcp,connection 192.168.50.10 -> 192.168.50.6:2401 (tcp),,
2026-08-03T04:00:10.301959+00:00,zeek:conn,192.168.50.10,192.168.50.6,6059,tcp,connection 192.168.50.10 -> 192.168.50.6:6059 (tcp),,
2026-08-03T04:00:10.302244+00:00,zeek:conn,192.168.50.10,192.168.50.6,992,tcp,connection 192.168.50.10 -> 192.168.50.6:992 (tcp),,
2026-08-03T04:00:10.302491+00:00,zeek:conn,192.168.50.10,192.168.50.6,1217,tcp,connection 192.168.50.10 -> 192.168.50.6:1217 (tcp),,
2026-08-03T04:00:10.302737+00:00,zeek:conn,192.168.50.10,192.168.50.6,1009,tcp,connection 192.168.50.10 -> 192.168.50.6:1009 (tcp),,
2026-08-03T04:00:10.302739+00:00,zeek:conn,192.168.50.10,192.168.50.6,1072,tcp,connection 192.168.50.10 -> 192.168.50.6:1072 (tcp),,
2026-08-03T04:00:10.302740+00:00,zeek:conn,192.168.50.10,192.168.50.6,5859,tcp,connection 192.168.50.10 -> 192.168.50.6:5859 (tcp),,
2026-08-03T04:00:10.302986+00:00,zeek:conn,192.168.50.10,192.168.50.6,4444,tcp,connection 192.168.50.10 -> 192.168.50.6:4444 (tcp),,
2026-08-03T04:00:10.302990+00:00,zeek:conn,192.168.50.10,192.168.50.6,16018,tcp,connection 192.168.50.10 -> 192.168.50.6:16018 (tcp),,
2026-08-03T04:00:10.302990+00:00,zeek:conn,192.168.50.10,192.168.50.6,3995,tcp,connection 192.168.50.10 -> 192.168.50.6:3995 (tcp),,
2026-08-03T04:00:10.302991+00:00,zeek:conn,192.168.50.10,192.168.50.6,3737,tcp,connection 192.168.50.10 -> 192.168.50.6:3737 (tcp),,
2026-08-03T04:00:10.302992+00:00,zeek:conn,192.168.50.10,192.168.50.6,3390,tcp,connection 192.168.50.10 -> 192.168.50.6:3390 (tcp),,
2026-08-03T04:00:10.304268+00:00,zeek:conn,192.168.50.10,192.168.50.6,4002,tcp,connection 192.168.50.10 -> 192.168.50.6:4002 (tcp),,
2026-08-03T04:00:10.304272+00:00,zeek:conn,192.168.50.10,192.168.50.6,13456,tcp,connection 192.168.50.10 -> 192.168.50.6:13456 (tcp),,
2026-08-03T04:00:10.304273+00:00,zeek:conn,192.168.50.10,192.168.50.6,5550,tcp,connection 192.168.50.10 -> 192.168.50.6:5550 (tcp),,
2026-08-03T04:00:10.304274+00:00,zeek:conn,192.168.50.10,192.168.50.6,6788,tcp,connection 192.168.50.10 -> 192.168.50.6:6788 (tcp),,
2026-08-03T04:00:10.304275+00:00,zeek:conn,192.168.50.10,192.168.50.6,888,tcp,connection 192.168.50.10 -> 192.168.50.6:888 (tcp),,
2026-08-03T04:00:10.304276+00:00,zeek:conn,192.168.50.10,192.168.50.6,2920,tcp,connection 192.168.50.10 -> 192.168.50.6:2920 (tcp),,
2026-08-03T04:00:10.304277+00:00,zeek:conn,192.168.50.10,192.168.50.6,5414,tcp,connection 192.168.50.10 -> 192.168.50.6:5414 (tcp),,
2026-08-03T04:00:10.304277+00:00,zeek:conn,192.168.50.10,192.168.50.6,1199,tcp,connection 192.168.50.10 -> 192.168.50.6:1199 (tcp),,
2026-08-03T04:00:10.304279+00:00,zeek:conn,192.168.50.10,192.168.50.6,35500,tcp,connection 192.168.50.10 -> 192.168.50.6:35500 (tcp),,
2026-08-03T04:00:10.304539+00:00,zeek:conn,192.168.50.10,192.168.50.6,2030,tcp,connection 192.168.50.10 -> 192.168.50.6:2030 (tcp),,
